case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?"
TNL-21363-19,1/29/2021 21:36:28,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1652.93,1365.9816966067863,0,6064.65,5,1,1,0
TNL-21473-19,1/29/2021 21:56:29,Harry Cho,Toronto,Yes,No,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1315.00,0,5450.00,4,0,0,1
TNL-21505-19,1/29/2021 22:12:42,Nancy Morris,Toronto,No,Yes,No,Yes,No,Yes,No relief,6.306049004594181,1595.9445741324917,1200.00,0,9675.00,9,0,0,0
TNL-21820-19,1/30/2021 0:31:39,Harry Cho,Toronto,Yes,No,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,238.26,0,7588.48,9,0,0,0
TNL-22459-19,1/30/2021 0:42:23,Debbie Mosaheb,Toronto,Yes,No,Yes,Yes,No,No,No relief,86,710.15,1365.9816966067863,0,2340.60,4,1,0,0
TSL-08283-19-RV,1/30/2021 0:55:56,Anna Solomon,Toronto,Yes,Yes,No,Yes,No,No,Tenant ordered to pay adjusted arrears cost,6.306049004594181,1595.9445741324917,1365.9816966067863,0,890.00,12,0,0,0
TSL-10696-19,1/30/2021 1:14:33,Nicola Mulima,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,0.00,6.306049004594181,0,0,0
TSL-10697-19,1/30/2021 1:13:51,Nicola Mulima,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,0.00,6.306049004594181,0,0,0
TSL-11933-19,1/30/2021 1:26:32,Anna Solomon,Toronto,Yes,Yes,No,Yes,No,Yes,Tenant must pay arrears with EI lump-sum check or else he will be evicted,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3307.00,5,0,0,0
TSL-12392-19,1/30/2021 1:38:48,Nicola Mulima,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1640.00,1550.00,0,8342.68,5,0,0,0
CEL-83044-19,1/30/2021 13:10:52,Anna Solomon,Mississauga,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1900.00,1900.00,0,5700.00,4,1,0,0
CEL-83008-19,1/30/2021 13:33:00,Alex Brkic,Mississauga,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,2050.00,0,4152.75,3,0,0,0
TSL-13225-20,1/30/2021 13:51:19,Nicola Mulima,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,608.73,608.73,0,3651.65,6,0,0,0
CEL-81147-18,1/30/2021 14:19:28,Sandra Macchione,Mississauga,Yes,Yes,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,25000.00,62,1,0,0
CEL-78863-18,1/30/2021 14:44:51,Alex Brkic,Mississauga,Yes,Yes,Yes,Yes,No,No,"Ordered payment of arrears, no eviction",6.306049004594181,1335.54,1290.00,1,6796.14,11,1,1,0
CEL-82129-19,1/30/2021 15:07:10,Lisa Del Vecchio,Mississauga,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1185.00,0,2940.01,5,1,0,0
CEL-80220-18,1/30/2021 15:34:10,Avril Cardoso,Mississauga,No,Yes,No,Yes,No,No,No relief,10,1600.00,1600.00,0,3580.00,5,1,0,0
TSL-95605-18,1/30/2021 16:06:05,David Mungovan,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1900.00,0,5725.00,3,0,0,0
TSL-95667-18,1/30/2021 16:15:53,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1405.23,1380.40,0,5546.43,3,0,0,0
TSL-95674-18,1/30/2021 16:24:51,Dale Whitmore,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1875.00,0,7500.00,4,0,0,0
TSL-95717-18,1/30/2021 18:53:02,David Mungovan,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,418,1365.9816966067863,0,2761.25,8,0,0,0
TSL-95811-18,1/30/2021 18:59:36,Renee Lang,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,70000,1365.9816966067863,0,4320,6,0,0,0
TSL-95864-18,1/30/2021 19:23:07,Ruth Carey,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,938.93,935.05,1,1005.67,19,0,1,0
TSL-95874-18,1/30/2021 19:34:42,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,landlord was not seeking eviction but seeking to terminate tenancy because of persistent late payment; relief granted (not terminating tenancy) if tenant can pay in time and in full for the next 11 months,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TSL-96198-18-RV,1/30/2021 19:45:56,Lynn Mitchell,Toronto,Yes,No,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,2292.29,6.306049004594181,0,0,0
TSL-96267-18,1/30/2021 19:57:35,David Mungovan,Toronto,Yes,No,No,Yes,No,No,"Relief granted, no eviction because amount of arrears are small and there was offsetting abatement that landlord has to pay",6.306049004594181,1595.9445741324917,1365.9816966067863,0,91.18,7,1,0,0
TSL-96905-18,1/30/2021 21:36:21,David Lee,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1100,1100,0,2914.54,5,1,0,0
TSL-97247-18-RV,1/30/2021 21:43:49,Nancy Henderson,Toronto,Yes,No,Yes,Yes,No,Yes,Postponement of eviction,6.306049004594181,902.76,650.00,0,3691.04,6,1,0,0
TSL-97498-18-RV2-AM,1/30/2021 21:50:00,Nancy Henderson,Toronto,No,Yes,No,Yes,No,No,No relief,18,2400.00,1365.9816966067863,0,17600.00,7,0,0,0
TSL-97576-18,1/30/2021 21:59:39,David Mungovan,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,2200.00,2200.00,0,5300.00,4,0,0,0
TSL-97632-18,1/30/2021 22:12:33,David Lee,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1159.33,0,3290.99,3,0,0,0
TSL-98005-18,1/30/2021 22:23:55,Roderick Flynn,Toronto,No,Yes,No,Yes,No,No,"Application dismissed, because landlord had breached his responsibilities to conduct repairs",6.306049004594181,730.00,730.92,0,381.84,2,0,0,0
TSL-98020-18-RV,1/30/2021 22:32:45,Renee Lang,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,825.58,0,4775.69,6,1,0,0
TSL-98059-18,1/30/2021 22:46:03,Roderick Flynn,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1952.88,0,8744.38,10,1,0,0
TEL-88767-18,1/30/2021 22:51:41,Laura Hartslief,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3900,3,0,0,0
TSL-98173-18,1/30/2021 22:54:00,Roderick Flynn,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,475.00,475.00,0,4375.00,48,0,0,0
TEL-88799-18,1/30/2021 22:55:52,Laura Hartslief,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,960,2,1,0,0
TSL-98384-18-AM,1/30/2021 22:57:51,Renee Lang,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,715.48,800.00,0,890.96,2,1,0,0
TEL-88801-18,1/30/2021 23:07:35,Ruth Carey,Toronto,No,Yes,No,Yes,No,No,No relief,7,1050,1050,0,633.06,6.306049004594181,1,0,0
TSL-03695-19,1/30/2021 23:23:11,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1142.00,1142.00,0,3770.57,17,0,0,0
TSL-98445-18,1/30/2021 23:34:27,Roderick Flynn,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,536.06,0,1232.38,3,1,0,0
TSL-03751-19,1/30/2021 23:41:22,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,No relief,59,1595.9445741324917,1350.00,0,6003.60,4,1,0,0
TSL-98604-18,1/30/2021 23:45:21,Renee Lang,Toronto,No,Yes,No,Yes,No,No,No relief,8,1050.00,100.00,0,3950.00,4,1,0,0
TSL-03762-19,1/31/2021 16:15:25,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,2789.83,2789.83,0,11157.52,4,0,0,0
TSL-03769-19,1/31/2021 16:26:20,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1188.65,1166.76,0,5839.45,5,0,1,1
TSL-03778-19,1/31/2021 16:45:34,Ibi Olabode,Toronto,Yes,Yes,Yes,Yes,No,No,Payment plan,84,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TSL-04078-19,1/31/2021 17:19:36,Renee Lang,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1344.00,1200.00,0,6864.00,6,0,0,0
TSL-04079-19,1/31/2021 17:44:50,Nicola Mulima,Toronto,No,Yes,No,Yes,No,No,No relief,6,1595.9445741324917,2000.00,0,5390.00,5,1,0,0
TSL-04253-19,1/31/2021 18:00:48,Anna Solomon,Toronto,Yes,No,Yes,No,No,No,No relief,24,1200.00,1365.9816966067863,1,5240.342916006339,6.306049004594181,0,0,0
TEL-78938-17,1/31/2021 21:50:24,William Burke,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1700.00,0,4100.00,8,0,0,0
TEL-79260-17,1/31/2021 21:50:43,Shelby Whittick,Whitby,No,Yes,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1500.00,0,9000.00,6,0,0,0
TEL-79283-17,1/31/2021 18:39:15,William Burke,Cobourg,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1300.00,0,2600.00,2,0,0,0
TEL-79447-17-RV,1/31/2021 18:57:24,Ruth Carey,Whitby,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1290.00,1410.00,0,7840.00,6.306049004594181,0,0,0
TSL-04253-19-RV,1/31/2021 19:23:01,Renee Lang,Toronto,No,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,1,0
TEL-79519-17; TET-79366-17,1/31/2021 19:30:19,William Burke,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,9,1350.00,0.00,0,4500.00,6,0,0,0
TEL-79563-17,1/31/2021 19:40:17,Laura Hartslief,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,17,1050.00,1050.00,0,3980.00,13,0,1,1
TSL-04311-19,1/31/2021 19:54:14,Renee Lang,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1200.00,0,6640.00,6,0,0,0
 TEL-79722-17,1/31/2021 19:55:04,Laura Hartslief,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,1960.00,4,0,0,0
TEL-79946-17-RV,1/31/2021 20:02:11,Ruth Carey,Peterborough,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1250.00,1365.9816966067863,0,3275.00,7,0,0,0
TSL-04444-19,1/31/2021 20:03:36,Anna Solomon,Toronto,No,Yes,No,Yes,No,No,No relief,18,2100.00,1365.9816966067863,0,8590.00,5,0,0,0
TSL-04979-19,1/31/2021 20:12:26,Ibi Olabode,Toronto,No,Yes,No,Yes,No,No,Payment plan,60,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-80073-17,1/31/2021 20:14:03,Jim McMaster,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1000.00,0,3200.00,17,1,0,0
TSL-05638-19,1/31/2021 20:21:13,Nicola Mulima,Toronto,No,Yes,Yes,Yes,No,No,Postponement of eviction,168,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-80084-17,1/31/2021 20:23:55,Ruth Carey,Whitby,Yes,No,No,Yes,No,No,Postponement of eviction,9,3500.00,2500.00,0,7900.00,5,1,0,1
TEL-80169-17,1/31/2021 20:32:41,Laura Hartslief,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,10400.00,8,0,0,0
TEL-80248-17,1/31/2021 20:37:20,Laura Hartslief,Toronto,Yes,Yes,No,No,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,950.00,0,3800.00,4,0,0,0
TEL-80320-17,1/31/2021 20:41:48,Ruth Carey,Peterborough,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,750.00,0,2430.00,6,0,0,0
TEL-80483-17-RV,1/31/2021 20:57:25,Jim McMaster,Belleville,No,Yes,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,800.00,0,9000.00,14,1,0,0
TSL-05944-19,1/31/2021 20:57:38,Renee Lang,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1400.00,0,9990.00,6,0,0,0
TEL-80715-17,1/31/2021 21:04:49,Ruth Carey,Whitby,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1400.00,0,4300.00,4,0,0,0
 TEL-80773-17,1/31/2021 21:08:55,Ruth Carey,Whitby,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1800.00,0,5988.00,4,0,0,0
TSL-98711-18,1/31/2021 21:11:23,Dale Whitmore,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1149.00,0,3454.42,4,1,0,0
TEL-81094-17,1/31/2021 21:16:17,Shelby Whittick,Whitby,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,9998.02,8,0,0,0
TSL-98713-18,1/31/2021 21:19:09,Dale Whitmore,Toronto,Yes,No,No,Yes,No,Yes,"No relief, because tenant can pay off the arrears with the help of social assistance",6.306049004594181,1595.9445741324917,964.25,0,2962.15,4,1,0,0
 TEL-81359-17-AM,1/31/2021 21:21:33,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1850.00,0,3349.00,3,0,0,0
TSL-98714-18,1/31/2021 21:25:29,Dale Whitmore,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1069.15,0,2608.05,3,0,0,0
TEL-81400-17,1/31/2021 21:27:42,Jim McMaster,Whitby,Yes,No,No,No,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,6550.00,5,1,0,0
 TEL-81405-17,1/31/2021 21:32:22,Laura Hartslief,Lindsay,No,Yes,No,No,No,No,No relief,6.306049004594181,830.00,830.00,0,2490.00,3,0,0,0
TSL-06394-19,1/31/2021 21:32:45,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1985.00,1985.00,0,11257.30,9,0,0,0
TSL-98754-18,1/31/2021 21:32:48,Dale Whitmore,Toronto,Yes,No,No,Yes,No,No,No relief because tenants could pay the balance,6.306049004594181,1595.9445741324917,1133.65,0,3397.04,3,1,0,0
TSL-98756-18,1/31/2021 21:36:21,Dale Whitmore,Toronto,Yes,No,No,Yes,No,No,No relief because tenant can pay the balance,6.306049004594181,1595.9445741324917,1007.62,0,4103.00,4,0,0,0
TSL-06770-19,1/31/2021 21:41:15,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,4,1931.00,1931.00,0,5939.21,3,0,0,0
TSL-98918-18-RV,1/31/2021 21:44:45,Nancy Henderson,Toronto,Yes,Yes,No,Yes,No,No,No relief,19,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6,0,1,0
TSL-06833-19,1/31/2021 21:48:58,Anna Solomon,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,1047.12,1,1,0,0
TSL-99691-18,1/31/2021 21:50:10,David Lee,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1800.00,1800.00,0,7200.00,5,0,0,0
TSL-99824-18,1/31/2021 21:54:47,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1900.00,1900.00,0,7600.00,4,0,0,0
TSL-99900-18,1/31/2021 22:08:50,David Mungovan,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,700.00,0,4900.00,7,0,0,0
TSL-99965-18,1/31/2021 22:15:34,David Lee,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,876.18,780.00,0,2690.50,7,0,0,0
TSL-06955-19-RV,1/31/2021 22:21:26,Renee Lang,Toronto,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4047.15,6,0,0,0
CEL-62600-16,1/31/2021 22:26:19,Avril Cardoso,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3809.32,3,1,0,0
TSL-07120-19,1/31/2021 22:33:07,Anna Solomon,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2000.00,0,12101.81,8,0,0,0
CEL-62852-16,1/31/2021 22:35:03,Tiisetso Russell,Mississauga,Yes,No,No,Yes,No,Yes,Payment plan,72,1289.50,1365.9816966067863,0,6502.87,19,1,0,0
CEL-63056-16,1/31/2021 22:41:31,Tiisetso Russell,Mississauga,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1084.74,0,3404.76,3,1,0,0
CEL-63024-16,1/31/2021 22:46:35,Tiisetso Russell,Mississauga,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1475.00,1475.00,0,6216.04,9,0,0,0
CEL-63193-16,1/31/2021 22:54:07,Karen Wallace,Mississauga,Yes,No,No,Yes,No,No,No relief,7,1205.10,1181.00,0,4800.50,4,1,1,0
CEL-63559-17,1/31/2021 22:59:59,Avril Cardoso,Mississauga,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,800.00,800.00,0,2000.00,3,0,0,0
CEL-63931-17,1/31/2021 23:11:03,Avril Cardoso,Mississauga,No,Yes,No,Yes,No,Yes,Payment plan,6.306049004594181,1000.00,1365.9816966067863,0,3500.00,3,0,0,0
CEL-63965-17-RV,1/31/2021 23:17:02,Karen Wallace,Mississauga,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,700.00,700.00,0,3500.00,5,1,0,0
CEL-64051-17,1/31/2021 23:23:06,Avril Cardoso,Mississauga,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,799.00,0,3196.00,4,0,0,0
TSL-07620-19,2/1/2021 0:55:49,Ibi Olabode,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1800.00,1365.9816966067863,0,10975.00,6,0,0,0
File number: TSL-07666-19-RV,2/1/2021 1:21:42,Anna Solomon,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1800.00,0,1238.53,1,1,0,0
TSL-08760-19,2/1/2021 1:33:43,Anna Solomon,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,993.83,993.83,0,993.83,4,1,0,0
TSL-08918-19,2/1/2021 2:31:15,Dale Whitmore,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,3,0,0,0
TSL-10061-19,2/1/2021 2:51:28,Nicola Mulima,Toronto,No,Yes,No,Yes,No,No,Order to pay rent on time,19,2036.00,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TSL-10720-19,2/1/2021 3:01:44,Anna Solomon,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,2580.00,2580.00,0,7930.00,3,0,0,0
TSL-93207-18-RV; TST-94747-18; TSL-00082-18,2/1/2021 17:28:33,Nancy Henderson,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,240,1200.00,1365.9816966067863,0,6548.72,9,0,0,0
TSL-95225-18-RV,2/1/2021 18:43:42,Dale Whitmore,Toronto,Yes,No,No,Yes,No,Yes,No relief,6.306049004594181,330.00,1365.9816966067863,1,16089.00,30,1,0,0
TSL-95896-18-RV,2/1/2021 19:10:49,Anna Solomon,Toronto,Yes,No,Yes,No,No,No,No relief,6.306049004594181,1253.00,1135.00,0,21165.00,17,0,0,0
TSL-97152-18-RV,2/1/2021 19:33:39,Anna Solomon,Toronto,Yes,No,Yes,No,No,Yes,No relief,6.306049004594181,650.00,1365.9816966067863,1,17442.00,24,1,0,0
TSL-97697-18,2/1/2021 20:00:27,David Lee,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1327.74,1327.74,0,1236.28,7,1,0,0
TSL-98395-18,2/1/2021 21:27:53,Ibi Olabode,Toronto,Yes,No,No,Yes,Yes,No,Payment plan,6.306049004594181,1100.00,1200.00,0,10985.00,37,1,0,0
TSL-98879-18,2/1/2021 21:42:31,Roderick Flynn,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1441.36,0,4140.00,7,1,0,0
 TSL-99380-18-RV,2/1/2021 21:55:55,Anna Solomon,Toronto,Yes,Yes,No,Yes,No,No,Order under review reversed in part to correct serious error,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TST-06337-19-IN,2/1/2021 22:10:10,Dale Whitmore,Toronto,No,Yes,Yes,Yes,No,No,Interim order,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
CEL-71370-17,2/1/2021 22:20:33,Sandra Macchione,Mississauga,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1800.00,0,5240.342916006339,6.306049004594181,0,0,0
CEL-71536-17,2/1/2021 23:36:33,Avril Cardoso,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1690.00,0,3880.04,2,0,0,0
CEL-72199-17,2/1/2021 23:48:07,Alex Brkic,Mississauga,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,0.00,0,2205.84,2,0,0,0
CEL-72209-17; CET-73173-18,2/2/2021 0:08:38,Lisa Del Vecchio,Mississauga,Yes,Yes,Yes,Yes,No,No,No relief,106,1595.9445741324917,7800.00,0,5240.342916006339,6.306049004594181,0,0,0
CEL-72857-18,2/2/2021 0:30:57,Alex Brkic,Mississauga,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,975.00,0,2018.82,2,0,0,0
CEL-72859-18,2/2/2021 0:38:38,Alex Brkic,Mississauga,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,750.00,0,1530.00,2,0,0,0
CEL-72919-18,2/2/2021 0:47:04,Alex Brkic,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1200.00,0.00,0,6000.00,5,0,0,0
CEL-72953-18,2/2/2021 1:02:43,Alex Brkic,Mississauga,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,0.00,0,4480.00,4,0,0,0
CEL-72966-18,2/2/2021 1:18:07,David Mungovan,Mississauga,No,Yes,No,Yes,No,No,No relief,78,1290.00,1340.00,0,2631.00,2,0,0,0
TSL-03695-19,2/2/2021 1:24:13,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1142.00,1142.00,0,5630.00,6,0,0,0
TEL-01869-19,2/7/2021 22:21:42,Ruth Carey,Whitby,Yes,Yes,No,Yes,No,No,Payment and eviction,67,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,1,0
